GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
UPB1	184.436260256141	3.19290108421595	0.77314695325741	4.12974670696648	3.63163116224465e-05	0.000597684026751105
RBP4	1936.80797019429	2.93129119887916	0.520720688346599	5.62929659696574	1.80946015379014e-08	1.13585705119024e-06
RBP7	167.925935588935	-7.85883792106753	0.940279226347405	-8.35798314038677	6.37995612543136e-17	3.13110846755829e-14
GABRA2	73.4791711626622	3.11734751313693	0.888039331734705	3.51037099567141	0.000447481880440547	0.00440826812328155
LOC103907273	6.41397600746138	6.81668571102985	0.745877596032814	9.13914796112198	6.29462971689487e-20	6.1784651866649e-17
LOC103904242	4.19839795192612	2.26852103252173	0.402235090152292	5.63978898922727	1.70258678810511e-08	1.08134291477476e-06
WNT11	6.85083419797322	-2.12729162883621	0.531115094988387	-4.00533076334938	6.19307604762537e-05	0.000919761239150084
B3GNT9	13.3334681471163	-2.18072700187395	0.595615521204095	-3.66129982218294	0.000250938886860887	0.0027953374666275
COBL	294.657766003145	-2.77487093294119	0.31680141298743	-8.75902322143775	1.96949547043322e-18	1.25086132907456e-15
PCDH18	33.4823421290617	-2.57530316180596	0.427080560770325	-6.03001728095722	1.63942147748529e-09	1.40482807082609e-07
LARP1	90.6677813104669	-2.26080249461363	0.305677084694605	-7.39604833928703	1.40296951439272e-13	3.44269587429504e-11
PCDH20	12.0442173760931	-2.2384217114361	0.533628094595683	-4.19472238082235	2.73205998347145e-05	0.000482783169255995
LOC103906733	38476.6170548795	2.78232279604342	0.853073964176154	3.26152586162961	0.00110814323766488	0.00892656787295103
EGFL6	25.7974618197526	-2.99635903212024	0.655148115792982	-4.57355971861949	4.79506923851614e-06	0.000114794595495031
APOC3	251.867486768746	-5.03152317135624	0.772355677881767	-6.5145156764504	7.29245661218291e-11	8.46630688620848e-09
STAT6	188.805486459722	2.28045421924048	0.195523558670648	11.6633219789224	1.96233871043137e-31	1.05936855282638e-27
ATP1B4	91.113026936482	-3.55840082575808	0.803761654206662	-4.42718411252193	9.5471238878715e-06	0.000201299529662838
SYN3	11.2422348927365	-4.07199378524315	0.654131044921144	-6.22504285167208	4.81424409453107e-10	4.59994632642938e-08
G0S2	348.185281978183	-2.68720233463918	0.69429439698064	-3.87040763446361	0.000108653518922458	0.00144652533144979
LOC103903702	27.1615600185597	-2.05149783353792	0.471122954218663	-4.35448499201284	1.33380117667723e-05	0.000268042876282978
ADAMTS19	8.81093520409341	-2.15250274580691	0.472028104193163	-4.56011565134703	5.11254562028449e-06	0.00012052435603103
USP13	1569.78988700505	-2.09892528885321	0.463351532301995	-4.52987665417973	5.9018131682287e-06	0.00013555449772962
SYT8	3.614411462345	-3.73209215705919	0.754229730556625	-4.94821671151161	7.48964952606455e-07	2.51135856934531e-05
FBN2	4.69762431891913	-2.15028995161478	0.60361485447102	-3.56235426561726	0.000367543946437158	0.00376505881374003
TMEM100	42.1776517873367	-2.43178643173325	0.315797325762736	-7.70046556239774	1.35571373696335e-14	4.06601144944257e-12
MYL1	9399.38267606273	-2.4355089457154	0.708879230060359	-3.43571773926572	0.00059098634756352	0.00547714986664663
LOC103894704	2.83933845838067	-3.56103730150812	0.949035401021299	-3.75227025006225	0.000175240406570038	0.00209531635629756
TMEM182	536.201960335846	-2.85041372708997	0.798791602319387	-3.56840722763416	0.000359157980278697	0.00369317020292294
MYOC	7.316496120292	3.19342233828102	0.460752776269485	6.93088029579936	4.18229841551971e-12	6.36003887216427e-10
MYPN	443.922147357723	-2.58091308760662	0.728477385649344	-3.5428870387048	0.0003957721908334	0.00398706834129813
