GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CCDC102B	36.3447961509623	-4.52968387400904	0.446662686991514	-10.141173655043	3.62715220666251e-24	7.25228932876576e-22
RBP7	167.925935588935	-4.96204447941819	0.967623533864426	-5.12807337333057	2.92722362733721e-07	2.79681761503947e-06
LOC103907272	40.5168776857828	-3.72781846647699	0.43605724593628	-8.5489198980579	1.24245703789569e-17	9.18822509462996e-16
LOC103907273	6.41397600746138	5.81050417263355	0.75381732720263	7.70810641113276	1.27698255364689e-14	5.34402350066878e-13
ATP10B	13.7389657081848	-5.19537424941356	0.88270982961752	-5.88571020180519	3.9634828200449e-09	5.97677709609285e-08
LOC109279484	107.994503028106	-3.19899994210023	0.327855340579882	-9.75735193589377	1.71576697859762e-22	2.68480232868384e-20
LOC103894622	5.81324090058957	-2.55715451512438	0.821736821276824	-3.11188990065097	0.00185893814091078	0.00624874069346628
LOC103894625	5.53272910550772	3.19493761353763	0.65050896079564	4.9114428948525	9.04086186701188e-07	7.65601455514724e-06
CCNB1	8.65794061000572	-4.42647098708627	0.904326024760027	-4.89477341787315	9.84190561889113e-07	8.25023718689189e-06
FBLN1	42.7905936947569	-2.03206072521518	0.496082043669064	-4.09621906526972	4.199525608866e-05	0.000229464969630194
FBLN2	44.3604051807871	-3.68048042443469	0.450120681884212	-8.17665255688351	2.91837961225407e-16	1.66718225785752e-14
SH3BGRL	912.836554063983	-2.26842957911045	0.171814727069458	-13.2027656639318	8.45720452527052e-40	1.52187395432243e-36
SORBS3	9.25727392144821	-2.30009686354716	0.523645639694457	-4.39246828234691	1.12070984067587e-05	7.13882250724329e-05
PCNX2	9.85918335387358	-3.13523528740286	0.748915641072013	-4.18636641493428	2.83455630157298e-05	0.000163486668739762
CCND1	265.428261752957	-2.21438900700051	0.304553329636479	-7.2709400670275	3.56994316035802e-13	1.1715707082792e-11
FAM105A	20.3175298386351	-2.22508002855339	0.41176091072027	-5.40381558963716	6.52380165050457e-08	7.3068394268358e-07
LOC103894668	333.995335194678	2.07857399846071	0.216139159703126	9.61683205077552	6.78898534224968e-22	9.77342329870264e-20
SIPA1L2	122.823747254805	-2.21509367054537	0.218187664731969	-10.1522406102402	3.23841561727487e-24	6.59720253202203e-22
B3GNT5	13.0676116306494	2.77858864647155	0.79032930334411	3.51573532034627	0.000438537935401674	0.00178137475114066
FAM107B	48.6078869409317	-2.29360442515378	0.372690904433999	-6.15417333201905	7.54701088243774e-10	1.32496059345822e-08
WNT11	6.85083419797322	-2.28888117283722	0.601030615788214	-3.80826053234493	0.000139947782810745	0.000657535339864063
LOC103904279	6.9613738923187	2.32850947733483	0.419304412349768	5.55326728923729	2.80378847088177e-08	3.42836966252667e-07
LOC103894686	10.0497219774843	-2.17809980224256	0.38217474139509	-5.69922489982366	1.20353366518892e-08	1.62026845175122e-07
NDP	17.2269072695008	2.84202066910702	0.719962993954161	3.94745381772771	7.89867481631739e-05	0.000399447269282337
GALNTL6	83.7407018663494	-2.10692369213241	0.506290929183996	-4.16148813001293	3.16180435292209e-05	0.000179579177267226
ARHGEF10	22.4300766240222	-2.29687077898907	0.293833316683583	-7.81691744460166	5.41325800594275e-15	2.4352894454235e-13
RAPGEF1	43.8502975222627	2.07923137314031	0.266507903777593	7.80176251311284	6.1048454168132e-15	2.72371966798893e-13
COL19A1	7.86436735685105	-3.10372059451786	0.561528215363851	-5.52727451550542	3.25243838671826e-08	3.916600642096e-07
LOC103898273	86.5762032348586	2.61214241892897	0.808655314161607	3.23022970749556	0.00123690796952889	0.00439450324021172
CCNJL	13.111381458424	-2.65923121688509	0.653587916577005	-4.06866643253154	4.72829810868441e-05	0.000254240212547139
DCLK2	39.1588314552139	2.210577024955	0.508805919098194	4.34463700593936	1.39506154122765e-05	8.70663552637856e-05
TEKT3	8.33145834360559	-2.98679282068972	0.55218515784735	-5.40904219942003	6.33626999329206e-08	7.15480330449773e-07
LOC103901252	190.260839684039	3.39725296061649	0.496870567669155	6.83729965442142	8.06998288012168e-12	2.05984882167078e-10
LOC103906706	595.424007098735	3.37192291139522	0.758558427373677	4.44517230277129	8.78214523123816e-06	5.71209771455894e-05
NIN	24.071088302849	-2.43709782167956	0.388992499722264	-6.26515375854192	3.7245770910282e-10	6.9937841481446e-09
APBB1IP	21.073050182117	-2.41714724455462	0.468418617465885	-5.16022880907516	2.46648207722481e-07	2.3969943283345e-06
APOA1	69.3061081822121	-2.0689775998771	0.49379726453362	-4.18993329546125	2.79036470325654e-05	0.000161455346736661
PCDH18	33.4823421290617	-2.58456053494335	0.444542552968723	-5.8139778018623	6.10055075411031e-09	8.77065865407843e-08
LARP1	90.6677813104669	-2.26433387352271	0.317016668313685	-7.14263349484884	9.15595221894104e-13	2.83257352744717e-11
PTGR1	48.4255556178819	3.18823331575656	0.472067314914671	6.75376840341691	1.44053634634777e-11	3.5755105589694e-10
DDHD1	11.7904611010797	-2.00670685071919	0.674404442396616	-2.97552436574706	0.00292488113793677	0.00914830291028487
LOC103901284	6.01225552114024	2.18425518994522	0.705179530509267	3.09744553754672	0.00195196259859877	0.00651881848966003
LOC103906733	38476.6170548795	3.60035171929128	0.854995453298757	4.21096007633765	2.54287687041628e-05	0.000149295495214163
EGFL6	25.7974618197526	-6.87269305249813	0.74112931537587	-9.27327108766786	1.80522880831909e-20	2.0958124132711e-18
APOC3	251.867486768746	-5.55840578865647	0.931995709994868	-5.9639821611272	2.4616362548383e-09	3.88571442156274e-08
